Country,ISO2,Regime_B2C,opt_in_or_out_B2C,Regime_B2B,opt_in_or_out_B2B,DNC_Registry_Name,DNC_Registry_URL,DNC_API_or_Bulk(Y/N/Unknown),DNC_Check_Required_for_ER(Y/N/Depends),Quiet_Hours(allowed_window_local),AIDisclosure_Required(Y/N/Depends),Recording_Basis(consent/legitimate_interest/contract),Existing_Relationship_Exemption(plain_text),Known_Exceptions(notes),CallerID/Prefix_Rules,Recent_Changes(2024+),Last_Verified,Primary_Sources(max3;official),Source_Language,Source_Last_Updated,Confidence,Notes_for_Product
Algeria,DZ,General consumer & e-commerce framework; no telemarketing/DNC,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",Call-center activity subject to ARPCE licensing terms.,True CLI; anti-spoofing by operators.,No 2024+ telemarketing updates noted.,2025-08-18,"https://www.arpce.dz/en; https://www.joradp.dz/FTP/jo-francais/2009/F2009015.pdf",FR,2009-03-08,Low,"Use consent where possible; respect call-center licensing; avoid robocalls."
Tunisia,TN,Data-protection law bans processing for advertising without express consent,opt-in (for personal data use),No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends (not AI-specific),consent (required when personal data used for marketing),"ER does not waive consent requirement for personal data use.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://www.ins.tn/sites/default/files/2020-04/Loi%2063-2004%20Fr.pdf; https://legislation-securite.tn/latest-laws/loi-organique-n-2004-63-du-27-juillet-2004-portant-sur-la-protection-des-donnees-a-caractere-personnel/",FR,2004-07-27,Low,"Treat consumer calls as opt-in; hold proof of consent; offer easy opt-out."
Iraq,IQ,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No official 2024+ telemarketing rules identified.,2025-08-18,"https://cmc.iq; https://www.iraq.gov.iq",AR,2024-01-01,Low,"Apply conservative defaults (no robocalls; provide opt-out; respect CLI)."
Iran,IR,CRA enforcement against promotional voice/SMS from personal numbers; no public DNC,depends (restrictions on promotional voice calls),No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends (not AI-specific),consent (recommended),"ER not codified.",Ban on advertising calls via personal numbers; complaints via 195 portal.,Ongoing 2024–2025 actions to curb advertising calls.,2025-08-18,"https://195.cra.ir; https://donya-e-eqtesad.com/بخش-بازار-دیجیتال-19/4120892",FA,2024-11-09,Low,"Use registered business lines only; avoid automated/promotional voice without explicit consent; provide opt-out."
Israel,IL,Automated calls covered by Spam Law (Amendment 40); live telemarketing constrained by national DNC,auto calls opt-in; live calls opt-out via DNC,Mixed; no specific B2B telemarketing statute; Spam Law still applies to automated systems.,depends,“Do Not Call Me” Registry (מאגר אל תתקשרו אליי),"https://www.gov.il/he/departments/general/spam_law; https://www.gov.il/he/departments/general/do_not_call_me",No,Yes,Not specified,Depends (required for automated systems; identify advertiser at start),consent (for recording; recommended),ER does not bypass DNC entries.,Certain nonprofit/political calls may be treated differently under law.,Display valid CLI.,National DNC launched/expanded (ongoing).,2025-08-18,"https://www.gov.il/he/departments/general/spam_law; https://www.gov.il/he/departments/general/do_not_call_me",HE,2022-12-12,Low,"Block DNC hits; disallow robocalls without prior express consent; open with clear identification; capture consent if recording."
Palestine (PA/PS),PS,General consumer/telecom complaint channels; no telemarketing/DNC code,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://www.mtit.gov.ps/index.php/c_home/showNew/1897; https://mtde.gov.ps/home/Complaints?culture=ar-SA",AR,2023-12-31,Low,"Apply conservative defaults; avoid automated voice; provide opt-out."
Yemen,YE,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"http://www.moit.gov.ye; http://www.ptic.gov.ye",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
Sudan,SD,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"http://www.ntc.gov.sd",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
Libya,LY,No specific telemarketing/DNC regime found.,depends,No specific B2B telemarketing regulation found.,depends,None (no DNC),,N/A,Depends,Not specified,Depends,consent (recommended),"ER not codified.",—,Display valid CLI.,No telemarketing-specific updates located.,2025-08-18,"https://lptic.ly; https://www.gptc.ly",AR,2020-01-01,Low,"Conservative defaults; no robocalls; provide opt-out."
Türkiye,TR,Commercial electronic messages (incl. calls) require prior consent and IYS registration,opt-in (consumers),B2B to traders/merchants allowed without prior consent but must provide opt-out,opt-out (for “traders/craftsmen”),İYS (İleti Yönetim Sistemi – consent database),"https://ticaret.gov.tr/ic-ticaret/bilgi-sistemleri/ticari-elektronik-ileti-yonetim-sistemi-iys; https://iys.org.tr/iys/yonetmelik",Unknown,Depends (no DNC; consent must be in IYS),Not specified,Depends (no AI-specific rule; identify caller),consent (or legitimate interest for B2B with opt-out),"ER does not override withdrawal/opt-out rights.",—,Display valid CLI.,IYS regime maintained; 2020 amendments in force.,2025-08-18,"https://ticaret.gov.tr/ic-ticaret/bilgi-sistemleri/ticari-elektronik-ileti-yonetim-sistemi-iys; https://iys.org.tr/iys/yonetmelik; https://www.turkiye.gov.tr/ticari-elektronik-ileti-yonetim-sistemi",TR,2023-04-18,Low,"Enforce IYS consent for consumers; allow B2B to traders with immediate opt-out; store proof; avoid robocalls without consent."

